kapanewon,metode_kb_aktif_iud,metode_kb_aktif_mop,metode_kb_aktif_mow,metode_kb_aktif_imp,metode_kb_aktif_suntik,metode_kb_aktif_pil,metode_kb_aktif_kondom,jumlah_peserta_kb_aktif,target_kb_aktif,persentase_trhdp_target_kb_aktif
Srandakan,1202,138,54,388,102,781,304,2969,3483,"85,24"
Sanden,852,146,151,640,146,1216,148,3299,4211,"78,34"
Kretek,702,159,37,555,145,1732,274,3604,4215,"85,5"
Pundong,826,216,27,331,150,1735,410,3695,4260,"86,74"
Bambanglipuro,1202,259,45,490,126,1641,509,4272,4713,"90,64"
Pandak,1788,270,26,872,103,1618,658,5335,6534,"81,65"
Bantul,1429,244,21,374,312,1791,333,4504,5035,"89,45"
Jetis,2021,384,46,1178,102,2170,528,6429,7230,"88,92"
Imogiri,1803,298,95,860,104,2692,587,6439,7126,"90,36"
Dlingo,1423,249,53,338,452,4345,501,7361,8325,"88,42"
Pleret,825,260,99,97,950,2531,512,5274,6211,"84,91"
Piyungan,3483,682,98,1473,475,4442,1144,11797,16680,"70,73"
Banguntapan,1007,197,54,464,318,2668,675,5383,6552,"82,16"
Sewon,1625,358,47,776,165,2936,598,6505,7356,"88,43"
Kasihan,2191,436,65,1015,353,3989,1219,9268,12195,76
Pajangan,2740,580,37,2593,242,4486,930,11608,14229,"81,58"
Sedayu,1243,235,36,527,225,2310,433,5009,6313,"79,34"